License report for tunnel-client release artifact flavor: runtime-cloudflared
Platforms: windows/amd64
Tests included: false
License summary (all licenses currently in use; additions require legal approval and #release-approval sign-off):
  Apache-2.0
  BSD-2-Clause
  BSD-3-Clause
  MIT

DEPENDENCY|TYPE|VERSION|LICENSES|LICENSE_FILE|PLATFORMS
golang.org/x/time/rate|transitive|v0.15.0|BSD-3-Clause|golang.org/x/time@v0.15.0/LICENSE|windows/amd64
google.golang.org/genproto/googleapis/api/httpbody|transitive|v0.0.0-20260526163538-3dc84a4a5aaa|Apache-2.0|google.golang.org/genproto/googleapis/api@v0.0.0-20260526163538-3dc84a4a5aaa/LICENSE|windows/amd64
google.golang.org/genproto/googleapis/rpc/status|transitive|v0.0.0-20260526163538-3dc84a4a5aaa|Apache-2.0|google.golang.org/genproto/googleapis/rpc@v0.0.0-20260526163538-3dc84a4a5aaa/LICENSE|windows/amd64
google.golang.org/grpc|transitive|v1.83.0|Apache-2.0|google.golang.org/grpc@v1.83.0/LICENSE|windows/amd64
google.golang.org/protobuf|direct|v1.36.11|BSD-3-Clause|google.golang.org/protobuf@v1.36.11/LICENSE|windows/amd64
google.golang.org/protobuf|transitive|v1.36.8|BSD-3-Clause|google.golang.org/protobuf@v1.36.8/LICENSE|windows/amd64
gopkg.in/natefinch/lumberjack.v2|direct|v2.0.0|MIT|gopkg.in/natefinch/lumberjack.v2@v2.0.0/LICENSE|windows/amd64
gopkg.in/yaml.v2|transitive|v2.4.0|Apache-2.0|gopkg.in/yaml.v2@v2.4.0/LICENSE|windows/amd64
gopkg.in/yaml.v3|direct|v3.0.1|MIT|gopkg.in/yaml.v3@v3.0.1/LICENSE|windows/amd64
nhooyr.io/websocket|direct|v1.8.7|MIT|nhooyr.io/websocket@v1.8.7/LICENSE.txt|windows/amd64
zombiezen.com/go/capnproto2|direct|v2.18.0|MIT|zombiezen.com/go/capnproto2@v2.18.0+incompatible/LICENSE|windows/amd64
