,id,left,top,right,bottom,row_index,col_index,Tract_ID_c,Tract_name,Group_name,Name_count,Name_other,Includes_c,Includes2_,Type_count,Subtype_co,SiteStatus,Latitude_c,Longitude_,Country_co,State_Prov,Age_range_,Comm_major,Tonnage_Mt,Cu_pct_cou,Co_pct_cou,Con_Cu_t_c,Comments_c,HostRocks_,Unit_count,Footwall_c,Hangwall_c,Mineralogy,Ref_Short_,Tctnic_set,Complex_co,deposit_ct,Name,n,distance_to_deposit,feature_x,feature_y,nearest_x,nearest_y,Tract_ID,n_2,distance_to_tract_boundary,feature_x_,feature_y_,nearest_x_,nearest_y_,centroid_x,centroid_y,deposit_present,log_distance_to_deposit
356,6079.0,590140.0118,8542299.9807,595140.0118,8537299.9807,64.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,27873.09761010483,593005.8319927433,8542299.9807,593005.8319927433,8570173.078310104,5.0,1.0,0.0,593262.3879949776,8541979.685017193,593262.3879949776,8541979.685017193,591640.822405,8539859.549243,0,10.235453135506747
357,6080.0,590140.0118,8537299.9807,595140.0118,8532299.9807,65.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,32873.49760208411,592843.6650702517,8537299.9807,593005.8319927433,8570173.078310104,5.0,1.0,0.0,592743.1285040745,8536631.906212918,592743.1285040745,8536631.906212918,591250.704483,8535037.053473,0,10.400452487297411
358,6081.0,590140.0118,8532299.9807,595140.0118,8527299.9807,66.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,37898.87796552644,591608.1809413945,8532299.9807,593005.8319927433,8570173.078310104,5.0,1.0,0.0,591365.3689187889,8531547.07731117,591365.3689187889,8531547.07731117,590669.296599,8531358.291224,0,10.54270317115838
359,6083.0,590140.0118,8522299.9807,595140.0118,8517299.9807,68.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,50150.292313205726,590140.0118,8520104.73607948,593005.8319927433,8570173.078310104,5.0,1.0,0.0,594060.3946361471,8517319.99488711,594060.3946361471,8517319.99488711,591456.179218,8518234.905855,0,10.82279956201531
360,6084.0,590140.0118,8517299.9807,595140.0118,8512299.9807,69.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,52873.09761010482,593005.8319927433,8517299.9807,593005.8319927433,8570173.078310104,5.0,1.0,0.0,595140.0118,8516426.563380644,595140.0118,8516426.563380644,592599.66247,8514758.491779,0,10.875668849727386
361,6085.0,590140.0118,8512299.9807,595140.0118,8507299.9807,70.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Lufubu South,1.0,57280.18332093734,595140.0118,8512299.9807,635028.5733713316,8553408.642281838,5.0,1.0,3010.6699893001223,595140.0118,8512299.9807,597528.7478624964,8514132.485490771,592640.0118,8509799.9807,0,10.95572745995706
362,6086.0,590140.0118,8507299.9807,595140.0118,8502299.9807,71.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Lufubu South,1.0,60968.07375256817,595140.0118,8507299.9807,635028.5733713316,8553408.642281838,5.0,1.0,6671.264702946587,595140.0118,8507299.9807,598237.5500034711,8513208.536345402,592640.0118,8504799.9807,0,11.018122026930932
363,6087.0,590140.0118,8502299.9807,595140.0118,8497299.9807,72.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Lufubu South,1.0,64832.03400262092,595140.0118,8502299.9807,635028.5733713316,8553408.642281838,5.0,1.0,11145.345530341556,595140.0118,8502299.9807,600109.2782634686,8512276.208334018,592640.0118,8499799.9807,0,11.079570536435716
364,6088.0,590140.0118,8497299.9807,595140.0118,8492299.9807,73.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Lufubu South,1.0,68842.42332120071,595140.0118,8497299.9807,635028.5733713316,8553408.642281838,5.0,1.0,15758.395105942753,595140.0118,8497299.9807,600245.2010262801,8512208.503741497,592640.0118,8494799.9807,0,11.139589977752625
365,6089.0,590140.0118,8492299.9807,595140.0118,8487299.9807,74.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Lufubu South,1.0,72975.10441618979,595140.0118,8492299.9807,635028.5733713316,8553408.642281838,5.0,1.0,15163.218163799136,595140.0118,8487299.9807,605837.6519367257,8476553.647344474,592640.0118,8489799.9807,0,11.197887329779633
366,6090.0,590140.0118,8487299.9807,595140.0118,8482299.9807,75.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Lufubu South,1.0,77210.44281942831,595140.0118,8487299.9807,635028.5733713316,8553408.642281838,5.0,1.0,12143.304802553255,595140.0118,8482299.9807,605837.6519367257,8476553.647344474,592640.0118,8484799.9807,0,11.254302948078506
367,6091.0,590140.0118,8482299.9807,595140.0118,8477299.9807,76.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sebembere,1.0,80409.91305157913,595140.0118,8477299.9807,643927.3121509429,8413381.646542814,5.0,1.0,10723.642943163384,595140.0118,8477299.9807,605837.6519367257,8476553.647344474,592640.0118,8479799.9807,0,11.294905180428344
368,6092.0,590140.0118,8477299.9807,595140.0118,8472299.9807,77.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sebembere,1.0,76495.56049465014,595140.0118,8472299.9807,643927.3121509429,8413381.646542814,5.0,1.0,10697.640136725851,595140.0118,8476553.647344474,605837.6519367257,8476553.647344474,592640.0118,8474799.9807,0,11.245001057949612
369,6093.0,590140.0118,8472299.9807,595140.0118,8467299.9807,78.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sebembere,1.0,72714.42383611962,595140.0118,8467299.9807,643927.3121509429,8413381.646542814,5.0,1.0,9757.94965481123,595140.0118,8467299.9807,598295.2239792171,8458066.226448886,592640.0118,8469799.9807,0,11.194308798325066
370,6094.0,590140.0118,8467299.9807,595140.0118,8462299.9807,79.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sebembere,1.0,69088.37885091097,595140.0118,8462299.9807,643927.3121509429,8413381.646542814,5.0,1.0,5026.54880844504,595140.0118,8462299.9807,596765.3356211797,8457543.457242684,592640.0118,8464799.9807,0,11.143156291008369
371,6095.0,590140.0118,8462299.9807,595140.0118,8457299.9807,80.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sebembere,1.0,65643.13178600764,595140.0118,8457299.9807,643927.3121509429,8413381.646542814,5.0,1.0,316.06013418045507,595140.0118,8457299.9807,595256.492479329,8457006.167392334,592640.0118,8459799.9807,0,11.092003489383995
372,6096.0,590140.0118,8457299.9807,595140.0118,8452299.9807,81.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sebembere,1.0,65416.14961039345,595140.0118,8456959.9892639,643927.3121509429,8413381.646542814,5.0,1.0,0.0,593027.2387411023,8456122.391936796,593027.2387411023,8456122.391936796,591925.17841,8456358.538086,0,11.088539729528557
373,6148.0,595140.0118,8682299.9807,600140.0118,8677299.9807,36.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kipapila,1.0,5927.654437083752,598221.021857564,8677299.9807,598221.021857564,8671372.326262916,2.0,1.0,0.0,599228.4424492692,8677299.9807,599228.4424492692,8677299.9807,597420.391295,8678317.796715,0,8.68755255850127
374,6148.0,595140.0118,8682299.9807,600140.0118,8677299.9807,36.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kipapila,1.0,5927.654437083752,598221.021857564,8677299.9807,598221.021857564,8671372.326262916,5.0,2.0,0.0,595930.036372648,8679856.872449119,595930.036372648,8679856.872449119,597420.391295,8678317.796715,0,8.68755255850127
375,6149.0,595140.0118,8677299.9807,600140.0118,8672299.9807,37.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kipapila,1.0,927.6544370837507,598221.021857564,8672299.9807,598221.021857564,8671372.326262916,2.0,1.0,0.0,599228.4424492692,8677299.9807,599228.4424492692,8677299.9807,597640.0118,8674799.9807,0,6.83373669661553
376,6150.0,595140.0118,8672299.9807,600140.0118,8667299.9807,38.0,63.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Kipapila,1.0,0.0,598221.021857564,8671372.326262916,598221.021857564,8671372.326262916,2.0,1.0,1220.1331200353195,600140.0118,8672299.9807,601244.8707278265,8672817.679048663,597640.0118,8669799.9807,1,0.0
377,6151.0,595140.0118,8667299.9807,600140.0118,8662299.9807,39.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kipapila,1.0,4072.3455629162486,598221.021857564,8667299.9807,598221.021857564,8671372.326262916,2.0,1.0,0.0,599021.5809785401,8665131.960388495,599021.5809785401,8665131.960388495,597648.504266,8666238.364553,0,8.312219946405568
378,6151.0,595140.0118,8667299.9807,600140.0118,8662299.9807,39.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kipapila,1.0,4072.3455629162486,598221.021857564,8667299.9807,598221.021857564,8671372.326262916,5.0,2.0,0.0,595832.0589618903,8665116.46868421,595832.0589618903,8665116.46868421,597648.504266,8666238.364553,0,8.312219946405568
379,6154.0,595140.0118,8652299.9807,600140.0118,8647299.9807,42.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kinsenda,1.0,5688.459491834403,600140.0118,8647299.9807,605005.6453916699,8644353.08722689,4.0,1.0,0.0,595866.0846188058,8648536.007350722,595866.0846188058,8648536.007350722,597418.369194,8647867.623707,0,8.646370529960556
380,6154.0,595140.0118,8652299.9807,600140.0118,8647299.9807,42.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kinsenda,1.0,5688.459491834403,600140.0118,8647299.9807,605005.6453916699,8644353.08722689,5.0,2.0,0.0,595518.8948928586,8648555.004736332,595518.8948928586,8648555.004736332,597418.369194,8647867.623707,0,8.646370529960556
381,6155.0,595140.0118,8647299.9807,600140.0118,8642299.9807,43.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kinsenda,1.0,4865.633591669961,600140.0118,8644353.08722689,605005.6453916699,8644353.08722689,4.0,1.0,0.0,595826.167103548,8642859.833478075,595826.167103548,8642859.833478075,597690.038832,8644840.255927,0,8.490157722773024
382,6155.0,595140.0118,8647299.9807,600140.0118,8642299.9807,43.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kinsenda,1.0,4865.633591669961,600140.0118,8644353.08722689,605005.6453916699,8644353.08722689,5.0,2.0,0.0,595290.9743380485,8642509.36659252,595290.9743380485,8642509.36659252,597690.038832,8644840.255927,0,8.490157722773024
383,6156.0,595140.0118,8642299.9807,600140.0118,8637299.9807,44.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kinsenda,1.0,5281.0639703708,600140.0118,8642299.9807,605005.6453916699,8644353.08722689,4.0,1.0,0.0,598649.3338851086,8642299.9807,598649.3338851086,8642299.9807,597800.876147,8640068.911034,0,8.572072203796765
384,6156.0,595140.0118,8642299.9807,600140.0118,8637299.9807,44.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kinsenda,1.0,5281.0639703708,600140.0118,8642299.9807,605005.6453916699,8644353.08722689,5.0,2.0,0.0,598565.9566787526,8637367.323834853,598565.9566787526,8637367.323834853,597800.876147,8640068.911034,0,8.572072203796765
385,6157.0,595140.0118,8637299.9807,600140.0118,8632299.9807,45.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kawiri South,1.0,1684.208827599883,599063.7968421304,8632299.9807,599063.7968421304,8630615.771872398,4.0,1.0,0.0,599304.1536086212,8634854.768672297,599304.1536086212,8634854.768672297,597814.383453,8633988.505575,0,7.429644768401065
386,6157.0,595140.0118,8637299.9807,600140.0118,8632299.9807,45.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kawiri South,1.0,1684.208827599883,599063.7968421304,8632299.9807,599063.7968421304,8630615.771872398,5.0,2.0,0.0,595705.6576705775,8635417.066323217,595705.6576705775,8635417.066323217,597814.383453,8633988.505575,0,7.429644768401065
387,6158.0,595140.0118,8632299.9807,600140.0118,8627299.9807,46.0,63.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Fitwaola,1.0,0.0,595717.9933975852,8628116.502432436,595717.9933975852,8628116.502432436,4.0,1.0,0.0,598073.6384873112,8630432.67535534,598073.6384873112,8630432.67535534,597748.758923,8630286.29904,1,0.0
388,6158.0,595140.0118,8632299.9807,600140.0118,8627299.9807,46.0,63.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Fitwaola,1.0,0.0,595717.9933975852,8628116.502432436,595717.9933975852,8628116.502432436,5.0,2.0,0.0,599989.0043854292,8630455.003201142,599989.0043854292,8630455.003201142,597748.758923,8630286.29904,1,0.0
389,6158.0,595140.0118,8632299.9807,600140.0118,8627299.9807,46.0,63.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Kawiri South,2.0,0.0,599063.7968421304,8630615.771872398,599063.7968421304,8630615.771872398,4.0,1.0,0.0,598073.6384873112,8630432.67535534,598073.6384873112,8630432.67535534,597748.758923,8630286.29904,1,0.0
390,6158.0,595140.0118,8632299.9807,600140.0118,8627299.9807,46.0,63.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Kawiri South,2.0,0.0,599063.7968421304,8630615.771872398,599063.7968421304,8630615.771872398,5.0,2.0,0.0,599989.0043854292,8630455.003201142,599989.0043854292,8630455.003201142,597748.758923,8630286.29904,1,0.0
391,6159.0,595140.0118,8627299.9807,600140.0118,8622299.9807,47.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Fitwaola,1.0,816.5217324346304,595717.9933975852,8627299.9807,595717.9933975852,8628116.502432436,4.0,1.0,0.0,598011.2425640423,8625418.705764912,598011.2425640423,8625418.705764912,597636.449568,8626321.776172,0,6.7062774864359564
392,6159.0,595140.0118,8627299.9807,600140.0118,8622299.9807,47.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Fitwaola,1.0,816.5217324346304,595717.9933975852,8627299.9807,595717.9933975852,8628116.502432436,5.0,2.0,0.0,599961.4277650644,8625198.117938025,599961.4277650644,8625198.117938025,597636.449568,8626321.776172,0,6.7062774864359564
393,6160.0,595140.0118,8622299.9807,600140.0118,8617299.9807,48.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Luano,1.0,850.3823286443949,598732.6959936984,8617299.9807,598732.6959936984,8616449.598371353,4.0,1.0,0.0,596375.1483786283,8619330.542821331,596375.1483786283,8619330.542821331,597529.708323,8618330.388884,0,6.746861297534294
394,6160.0,595140.0118,8622299.9807,600140.0118,8617299.9807,48.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Luano,1.0,850.3823286443949,598732.6959936984,8617299.9807,598732.6959936984,8616449.598371353,5.0,2.0,0.0,595166.5264422692,8619806.08035677,595166.5264422692,8619806.08035677,597529.708323,8618330.388884,0,6.746861297534294
395,6161.0,595140.0118,8617299.9807,600140.0118,8612299.9807,49.0,63.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Luano,1.0,0.0,598732.6959936984,8616449.598371353,598732.6959936984,8616449.598371353,4.0,1.0,0.0,595561.1285659033,8616279.741702152,595561.1285659033,8616279.741702152,597964.293416,8616530.977012,1,0.0
396,6161.0,595140.0118,8617299.9807,600140.0118,8612299.9807,49.0,63.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Luano,1.0,0.0,598732.6959936984,8616449.598371353,598732.6959936984,8616449.598371353,5.0,2.0,0.0,599397.5726155884,8615917.169990491,599397.5726155884,8615917.169990491,597964.293416,8616530.977012,1,0.0
397,6163.0,595140.0118,8607299.9807,600140.0118,8602299.9807,51.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Mimbula,1.0,1620.9153584028984,595140.0118,8604046.900299609,593519.6920660939,8604002.962172419,4.0,1.0,0.0,595353.0374344506,8604184.548249371,595353.0374344506,8604184.548249371,595270.690237,8604115.450172,0,7.391363049838351
398,6163.0,595140.0118,8607299.9807,600140.0118,8602299.9807,51.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Mimbula,1.0,1620.9153584028984,595140.0118,8604046.900299609,593519.6920660939,8604002.962172419,5.0,2.0,0.0,595208.3266859787,8604328.744585857,595208.3266859787,8604328.744585857,595270.690237,8604115.450172,0,7.391363049838351
399,6164.0,595140.0118,8602299.9807,600140.0118,8597299.9807,52.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Fitula,1.0,528.2086195896712,595140.0118,8600098.717732156,594658.719662728,8600316.346370915,4.0,1.0,0.0,595356.2928203769,8599805.890537724,595356.2928203769,8599805.890537724,595826.451903,8598433.888305,0,6.271382720070495
400,6164.0,595140.0118,8602299.9807,600140.0118,8597299.9807,52.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Fitula,1.0,528.2086195896712,595140.0118,8600098.717732156,594658.719662728,8600316.346370915,5.0,2.0,0.0,595292.9054654669,8599914.114100754,595292.9054654669,8599914.114100754,595826.451903,8598433.888305,0,6.271382720070495
401,6165.0,595140.0118,8597299.9807,600140.0118,8592299.9807,53.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Fitula,1.0,6405.741394362831,595140.0118,8593928.711386818,594658.719662728,8600316.346370915,5.0,1.0,0.0,595173.9392494964,8593913.394315286,595173.9392494964,8593913.394315286,595454.568571,8593441.659358,0,8.76510605784062
402,6167.0,595140.0118,8587299.9807,600140.0118,8582299.9807,55.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,12313.26459651326,595140.0118,8582299.9807,593005.8319927433,8570173.078310104,5.0,1.0,0.0,595188.1051063656,8583550.443158902,595188.1051063656,8583550.443158902,595621.38357,8582733.3835,0,9.418513592694685
403,6168.0,595140.0118,8582299.9807,600140.0118,8577299.9807,56.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,7439.587429743342,595140.0118,8577299.9807,593005.8319927433,8570173.078310104,5.0,1.0,0.0,596923.092286696,8581851.349186167,596923.092286696,8581851.349186167,597522.040327,8579494.058793,0,8.91470508032097
404,6169.0,595140.0118,8577299.9807,600140.0118,8572299.9807,57.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,3013.044511095617,595140.0118,8572299.9807,593005.8319927433,8570173.078310104,5.0,1.0,0.0,595429.2189622787,8572722.618790852,595429.2189622787,8572722.618790852,597808.85769,8575204.730539,0,8.0110381471914
405,6170.0,595140.0118,8572299.9807,600140.0118,8567299.9807,58.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,2134.1798072565575,595140.0118,8570173.078310104,593005.8319927433,8570173.078310104,5.0,1.0,0.0,599324.3721886714,8571953.829694971,599324.3721886714,8571953.829694971,596509.36113,8570111.235148,0,7.666306140972047
406,6171.0,595140.0118,8567299.9807,600140.0118,8562299.9807,59.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,3579.02407464545,595140.0118,8567299.9807,593005.8319927433,8570173.078310104,5.0,1.0,0.0,596746.2546612282,8567068.986825718,596746.2546612282,8567068.986825718,595834.68503,8564941.644398,0,8.183124804133433
407,6172.0,595140.0118,8562299.9807,600140.0118,8557299.9807,60.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,8157.229273959389,595140.0118,8562299.9807,593005.8319927433,8570173.078310104,5.0,1.0,0.0,597071.7897204603,8561919.129917702,597071.7897204603,8561919.129917702,597765.027184,8559857.081643,0,9.006782423669815
408,6173.0,595140.0118,8557299.9807,600140.0118,8552299.9807,61.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,13901.208890049798,598252.4467609071,8557299.9807,593005.8319927433,8570173.078310104,5.0,1.0,0.0,595753.1776862453,8552797.508956943,595753.1776862453,8552797.508956943,599060.980099,8555199.721238,0,9.53980301944668
409,6174.0,595140.0118,8552299.9807,600140.0118,8547299.9807,62.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,18000.06504516127,595140.0118,8552299.9807,593005.8319927433,8570173.078310104,5.0,1.0,0.0,596494.6002739656,8551594.495561345,596494.6002739656,8551594.495561345,595926.853138,8549740.354476,0,9.798186204303502
410,6175.0,595140.0118,8547299.9807,600140.0118,8542299.9807,63.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,22972.446925199,595140.0118,8547299.9807,593005.8319927433,8570173.078310104,5.0,1.0,0.0,596121.6625462681,8547115.121449297,596121.6625462681,8547115.121449297,595520.218824,8546890.313433,0,10.042094346471066
411,6181.0,595140.0118,8517299.9807,600140.0118,8512299.9807,69.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Kabula,1.0,53788.87050787,595140.0118,8516426.563380644,593005.8319927433,8570173.078310104,5.0,1.0,0.0,596862.1560252133,8515001.411983462,596862.1560252133,8515001.411983462,596606.813999,8513698.975339,0,10.89284044790001
412,6182.0,595140.0118,8512299.9807,600140.0118,8507299.9807,70.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Lufubu South,1.0,53947.645490728224,600140.0118,8512260.899628364,635028.5733713316,8553408.642281838,5.0,1.0,0.0,600061.553204616,8512299.9807,600061.553204616,8512299.9807,597639.860082,8509799.828177,0,10.895787863619075
